[2026-09-08T12:38:20.762Z] 127.0.0.1 "GET /api/ping" 200 UA=curl/8.0.1 
[2026-09-08T12:50:06.529Z] 127.0.0.1 "GET /" 200 UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0 
[2026-09-08T12:50:06.576Z] 127.0.0.1 "GET /api/observe?case=M1&result=loaded&ua=Mozilla%2F5.0%20(Windows%20NT%2010.0%3B%20Win64%3B%20x64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F152.0.0.0%20Safari%2F537.36%20Edg%2F152.0.0.0&note=index" 204 UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0 OBSERVE case=M1 result=loaded
[2026-09-08T12:50:33.684Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:50:33.752Z] 192.168.137.247 "GET /api/observe?case=M1&result=loaded&ua=Mozilla%2F5.0%20(Linux%3B%20Android%209%3B%20CB-C8hPro-STU%20Build%2FPPR1.180610.011%3B%20wv)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Version%2F4.0%20Chrome%2F89.0.4389.72%20MQQBrowser%2F6.2%20TBS%2F046295%20Mobile%20Safari%2F537.36&note=index" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=M1 result=loaded
[2026-09-08T12:50:34.649Z] 192.168.137.247 "GET /case-nav.html" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:50:43.190Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:50:44.417Z] 192.168.137.247 "GET /case-sub.html" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:50:47.793Z] 192.168.40.90 "WS-UPGRADE /ws" UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36
[2026-09-08T12:50:47.898Z] 192.168.137.247 "GET /api/observe?case=S1&result=ERR%20network&note=" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=S1 result=ERR network
[2026-09-08T12:50:47.911Z] 192.168.137.247 "GET /api/observe?case=S2&result=ERR%20network&note=" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=S2 result=ERR network
[2026-09-08T12:50:47.915Z] 192.168.137.247 "GET /api/observe?case=S3&result=EXC%20TypeError%3A%20Failed%20to%20execute%20%27fetch%27%20on%20%27Window%27%3A%20Request%20cannot%20be%20constructed%20from%20a%20URL%20that%20inclu&note=" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=S3 result=EXC TypeError: Failed to execute 'fetch' on 'Window': Request cannot be constructed from a URL that inclu
[2026-09-08T12:50:47.919Z] 192.168.137.247 "GET /api/observe?case=S4&result=ERR%20load&note=" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=S4 result=ERR load
